song_id,release_year,key,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,popularity,artist_type,genre,hit,duration_log,followers_log
00J4DmF13ppCBIq89cVbAE,2001,F,0.164,0.694,0.775,0.0,0.307,-6.501,0.461,0.752,84.456,67.0,rapper,hip hop/rap,0,12.187506353656296,13.482534004317682
00Mb3DuaIH1kjrwOku9CGU,2002,C,6.79e-05,0.487,0.9,0.0,0.358,-4.417,0.0482,0.484,149.937,80.0,singer,pop,1,12.225880174775122,15.387652128454523
00NAQYOP4AmWR549nnYJZu,2016,C,0.0155,0.665,0.771,9.6e-06,0.46,-5.779,0.0533,0.764,109.945,90.0,singer,soul/r&b,0,12.48975046163757,16.643373792142423
00ODCfwZix0sfqSfBYT18Z,1985,B,0.246,0.403,0.848,0.0,0.616,-11.615,0.0625,0.622,149.028,59.0,-,rock,0,12.18940450060739,11.49528070779676
00PLtXXER1XcTRZvs3LioS,1976,D,0.332,0.894,0.568,0.0281,0.0666,-13.207,0.0952,0.742,106.025,57.0,band,soul/r&b,1,11.898194668458823,12.043806625224644
00Qi1pQPiMxsnnlZG2bpTC,1973,A,0.0581,0.621,0.682,3.87e-06,0.0815,-7.429,0.0511,0.711,89.573,61.0,singer,soul/r&b,0,12.066971484790736,12.851110929805014
00RYiT3a2lNQ1wTKBQXWSw,2008,C,0.213,0.85,0.687,0.0,0.0724,-5.995,0.308,0.502,149.989,31.0,band,unknown,0,12.24054170281075,6.715383386334681
00U45bMLJ8QM1kwT9i6cIL,1968,C,0.00817,0.302,0.595,0.0,0.374,-6.875,0.0348,0.7,207.475,57.0,singer,pop,0,12.106478803933348,11.407398268755303
00XXUBsdOe8cLPo2p64Dd3,1983,E,0.0342,0.473,0.952,3.84e-05,0.275,-3.561,0.0531,0.78,152.007,72.0,singer,rock,0,12.51791548184879,13.461252690541146
00boa7LL0M0FvUOslpdGCR,1979,C,0.000878,0.504,0.724,6.92e-05,0.212,-8.552,0.0386,0.523,143.999,35.0,band,pop,0,12.506299452734206,9.927789845059094
00cs7mlkTcIIoWnm8G0U0l,1970,C,0.755,0.407,0.47,0.0216,0.0976,-8.64,0.037,0.227,138.471,78.0,singer,rock,0,12.14554739377637,15.075140182636064
00da5UpHHr2CcmAedVX3Be,2005,A,0.0476,0.901,0.391,0.0,0.102,-4.421,0.0934,0.77,100.018,81.0,singer,pop,1,12.297685088031914,14.51282305155078
00drgzklCYUPHnEDRi7ROJ,1983,A,0.0961,0.49,0.719,0.000175,0.12,-7.87,0.0355,0.864,181.448,34.0,singer,rock,0,12.717581036157814,8.566935283311052
00gV7ZurTj4V4su0RWSEzd,1965,"A♯, B♭",0.894,0.639,0.446,0.0114,0.922,-15.618,0.0531,0.765,116.805,25.0,singer,unknown,0,12.671735617739985,7.837159650001675
00gvX9sFwh19OH88f4v4jW,2005,G,0.000379,0.232,0.968,0.136,0.938,-5.597,0.102,0.419,188.686,47.0,band,blues,0,12.15035378327376,11.495026225082396
00i2HU7TEzzftShjRrDSEF,1999,G,0.0404,0.865,0.657,0.0,0.14,-6.722,0.076,0.316,111.115,61.0,-,unknown,1,12.502321666660515,5.87493073085203
00iVYbSh1B77akx1ITNWUL,1989,E,0.00409,0.373,0.884,0.0,0.329,-7.707,0.0421,0.28,130.099,37.0,band,metal,0,12.4604086154641,10.53006748882396
